Functions sorted by metric: Exclusive Total CPU Time

Exclusive        Inclusive        
Total CPU Time   Total CPU Time   Name
sec.             sec.             
 0.               0.010           <static>@0x67e65 (<libopen-pal.so.40.30.2>) --  no functions found
 0.               0.010           <static>@0x67e65 (<libopen-pal.so.40.30.2>) --  no functions found
 0.               0.090           <static>@0x6cb0 (<libhwloc.so.15.6.1>)
 0.               0.010           <static>@0x701 (<hwloc_gl.so>) --  no functions found
 0.               0.010           <static>@0x7e2de (<libc.so.6>)
 0.               0.100           <static>@0x7e63a (<libc.so.6>)
 0.               0.010           <static>@0x802b8 (<libc.so.6>)
 0.               0.040           <static>@0x84e91 (<libc.so.6>)
 0.               0.040           <static>@0x853dd (<libc.so.6>)
 0.               0.010           <static>@0xa985a (<libpmix.so.2.6.2>)
 0.               0.040           <static>@0xb383 (<ld-linux-x86-64.so.2>)
 0.               0.020           <static>@0xc36a (<libhwloc.so.15.6.1>)
 0.               0.010           <static>@0xc6379 (<libmpi.so.40.30.4>) --  no functions found
 0.               0.010           <static>@0xd2752 (<libpmix.so.2.6.2>)
 0.               0.020           <static>@0xd7c1 (<ld-linux-x86-64.so.2>)
 0.               0.010           <static>@0xef11e (<libpmix.so.2.6.2>)
 0.               0.110           <static>@0xf21bc (<libstdc++.so.6.0.30>)
 0.               0.030           <static>@0xf51 (<hwloc_pci.so>) --  no functions found
 0.               0.010           std::basic_filebuf<char, std::char_traits<char> >::close()
 0.               0.170           std::basic_filebuf<char, std::char_traits<char> >::_M_convert_to_external(char*, long)
 0.               0.170           std::basic_filebuf<char, std::char_traits<char> >::overflow(int)
 0.               0.170           std::basic_filebuf<char, std::char_traits<char> >::sync()
 0.               0.010           std::__basic_file<char>::close()
 0.               0.170           std::__basic_file<char>::xsputn(const char*, long)
 0.               0.170           std::basic_ostream<char, std::char_traits<char> >::flush()
 0.               0.140           std::basic_ostream<char, std::char_traits<char> >::_M_insert<double>(double)
 0.               0.010           std::basic_ostream<char, std::char_traits<char> >::put(char)
 0.               0.140           std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double)const
 0.               0.020           std::use_facet<std::ctype<char> >(const std::locale&)
 0.               0.010           strdup
 0.               0.010           usleep
 0.               0.010           xcb_connect_to_display_with_auth_info
 0.               0.010           _XConnectXCB
 0.               0.010           XOpenDisplay

